   93664	pistää_silmä	 idiomatic	Heidän joukostaan minä pistin silmääsi senvuoksi , etten ollut ollenkaan _heidän_ kaltaisensa .
 3582760	avata_silmä	   literal	Tointuessani tunsin sydämmeni sykkivän poskeani vasten , avasin silmäni ja näin mieheni .
 3582807	avata_silmä	 idiomatic	Hän laski kätensä ikäänkuin siunaten hänen päälleen , kohotti sitä ja sanoi : « Synnyttyäsi et pitkään aikaan osoittanut elonmerkkiäkään ; -- minun sylissäni vasta avasit silmäsi tässä maailmassa ; -- silloin kiitin Jumalaa .
 3583281	avata_silmä	   literal	Kuka ? » kysyi raatimies ikäänkuin unen pöpperössä avaten silmänsä seljälleen , « olisiko hän ... » « Niin , varmaankin hänen kuninkaallinen korkeutensa itse , ellei mahdollisesti hänen majesteettinsa ! ... » « Herra Jumala ! » huudahti raatimies yhtä ällistyneenä kuin jos raatihuone olisi kaatunut maahan .
 3584100	avata_silmä	   literal	Saara ! » huudahti ääni täynnä rakkautta ja pelkoa , ja Saara avasi silmänsä ja sanoi : « Oi Petrea !
 3585668	avata_silmä	   literal	Kartanonherra avasi silmänsä ja katsoi kelloaan .
 3590174	avata_silmä	   literal	Merete avasi silmänsä selkosen selälleen ja häneltä pääsi miltei kuuluva helpotuksen huokaus .
 3596179	avata_silmä	 idiomatic	VINIKKA : Niin kyllä -- sellaista työtä vuottivat he sulta ; ma sanoinhan sen lähtiessä ... ILKKA : Sanoit , ja sillä avasitkin silmät multa , niin että näin mä ansan katalan , jonk ' olin silmukkahan käydä jo .
 3596374	avata_silmä	   literal	( avaa silmänsä ) Kirsti , sinäkö ?
 3600178	avata_silmä	   literal	Vähän ajan kuluttua hän avasi silmänsä ; mutta hän oli vielä liian hämmentynyt voidakseen käsittää mitä Krag sanoi tullessaan takaisin lopetettuaan tutkimuksensa taulun ympärillä .
 3600183	avata_silmä	   literal	Tyttö alkoi silloin tointua , avasi silmänsä , katseli kummeksien ympärilleen , mutta sulki ne jälleen nopeasti , ikäänkuin peläten katseensa kohtaavan jotakin kauheaa .
 3608498	avata_silmä	   literal	Ja eräänä yönä näin unta , että minä nopeasti kierin auki sen nuoran ja lapsi avasi silmänsä ja kirkkaasti hymyili minulle .
 3618645	avata_silmä	   literal	Tuskin Mergyn ensi askeleet olivat ruvenneet kuulumaan huoneen matolla , kun hän kohotti päätään , avasi silmänsä ja suunsa , vavahti ja sai vaivoin tukahduttaneeksi kauhun huudahduksen .
 3619484	avata_silmä	   literal	Yhtäkkiä kuolleeksi luultu avasi silmänsä , tunsi Mergyn ja huusi : -- Herra de Mergy , armoa !
 3629572	avata_silmä	   literal	Samassa lapsi heräsi ja avasi silmänsä , ja samassa tuli Hela tupaan .
 3636073	avata_silmä	   literal	Avasin silmäni ja näin talot litistyneinä maahan kuin musertuneina pudottuaan alas .
 3639495	avata_silmä	   literal	XXXXIV Kun jälleen avasin silmäni , tunsin Hannun toisella kädellään pitävän minua tanakasti kiinni vyötäistä , ja toisella huomasin hänen tukevan setääni .
 3642430	avata_silmä	   literal	Sitte hän avasi silmänsä ja sanoi jotain , jota pitkään aikaan ei kukaan voinut käsittää , vaan Tihon lopulta ymmärsi ja selitti .
 3644989	avata_silmä	   literal	Ruhtinas Andrei avasi silmänsä ja katsahti paarien pohjalta , jonka syvyyteen hänen päänsä oli painunut , puhuvaan mieheen ja ummisti uudelleen luomensa .
 3645003	avata_silmä	   literal	Hän avasi silmänsä eikä hyvään aikaan kyennyt käsittämään , mitä hänen ympärillään tapahtui .
 3647767	avata_silmä	   literal	Sitte hän avasi silmänsä ja virkkoi heikolla äänellä : `` entäs tee ? ''
 3666310	avata_silmä	   literal	Kun avasin silmäni ja katsahdin häneen , sanoi hän yht'äkkiä päättävästi ja ärtyisenä : '' Teillä varmaankin on vastenmielistä istua minun kanssani tietäessänne , kuka olen ?
 3677626	avata_silmä	 idiomatic	Rikasten itku ja valitus kuuluu pian , ja tiedon siitä pitäisi poistaa kaiken kateuden ja ahneuden kaikkien sydämistä ja täyttää ne sen sijaan myötätunnolla rikasraukkoja kohtaan , myötätunnolla , joka ei kumminkaan halua muuttaa Jumalan tuomiota , vaan tunnustaa hänen viisautensa ja hyvyytensä , tietäessään , että se ojentaa kaikkien , sekä rikkaiden että köyhien , sydämet ja avaa silmät oikeudelle ja rakkaudelle .
 3689953	avata_silmä	   literal	Äkkiä hän avasi silmänsä , katsoen kirkkaasti heihin kaikkiin , ja toisti kuuluvasti : `` kun Jumala sen suo '' .
 3712761	avata_silmä	   literal	Auringonvalo tulvi sisään idän puoleisista ikkunoista , kun Marcia aamulla avasi silmänsä , ja iloisen lintukuoron äänet tervehtivät häntä ensimmäiseksi .
 3713659	avata_silmä	   literal	Marcia avasi silmänsä selkoselälleen .
 3714162	avata_silmä	   literal	Marcia avasi silmänsä ja katseli häntä aivan huumaantuneena .
 3716085	avata_silmä	   literal	Hän oli sinä päivänä kestänyt jo paljon , aina siitä hetkestä alkaen , kun tapasi miehen nukkumassa ruohikossa ; ja nyt , kun hän avasi silmänsä ja joka puolella oli pimeä , valtasi hänet yht'äkkiä samanlainen kauhun tunne , kuin silloin vanhassa viinikellarissa .
 3716497	avata_silmä	   literal	Copley avasi silmänsä hymyillen leikillisesti .
 3724735	avata_silmä	 idiomatic	-- Poikani , poikani , avaa silmäsi , avaa ne kerran , yhden ainoan vielä .
 3724801	avata_silmä	 idiomatic	-- Avaa silmäsi , avaa , yhden ainoan kerran vielä !
 3749709	avata_silmä	   literal	Ja kun hän avasi silmänsä eikä nähnyt mitään , ja ojenteli käsiään sinne tänne ja huomasi olevansa arkussa , niin hän koetteli muistella asioita ja sanoi itsekseen : Mitä tämä on ?
 3749803	avata_silmä	   literal	Tapahtui sitten , että neito , jonka nimi oli Efigenia , heräsi pitkän ajan perästä , ennen kaikkia seuralaisiaan , ja kun hän , kohottaen päätänsä ja avaten silmänsä , huomasi edessään Cimonen sauvansa nojassa seisomassa , niin hän kummastui suuresti ja sanoi : Cimone , mitä sinä tähän aikaan täällä metsässä haeskelet ?
 3750973	avata_silmä	   literal	Messer Torello avasi silmänsä ja katseli ympärilleen , ja kun hän huomasi selvästi olevansa siellä , minne oli pyytänyt Saladinilta päästä , niin hän oli hyvin tyytyväinen .
 3756497	avata_silmä	   literal	Oli jo kirkas päivä , kun Gilbert avasi silmänsä , näki hän vieraan isäntänsä tulevan kamariin .
 3757978	avata_silmä	   literal	`` Merkillistä '' , virkkoi Lorenza , `` minä näin ja kuulin kaikki , vaikka minä en osannut avata silmiäni , en puhua enkä liikahtaakaan ; minä olin ikäänkuin horrostilassa '' .
 3759814	avata_silmä	   literal	`` No , mitä sanoisit , jos tämä koira jälleen avaisi silmänsä ja katsoisi sinuun '' ?
 3761602	avata_silmä	   literal	Gilbert kuuli tämän ; hänen suunnaton voimattomuutensa esti häntä heti vastaamasta , mutta hän ponnisti rajusti tahtoaan , avasi silmänsä ja sai vaivalla kuiskatuksi : '' Ei , ei ; sinne ylös ! ''
 3763844	avata_silmä	   literal	Hän pysäyttää paarit , kaataa pari , kolme pisaraa haavaani , en tiedä mitä , ja toiset kolme huulilleni : verenjuoksu lakkaa , minä alan jälleen hengittää , avaan silmäni , ja olen pelastunut . ''
 3764299	avata_silmä	   literal	Balsamo tarkasti näiden sanojen vaikutusta , katsellen herttuata ja kreivitärtä ; nämä kuuntelivat ja avasivat silmiään sitäkin kovemmassa jännityksessä , kun eivät ymmärtäneet , mitä kreivi puhui .
 3793836	avata_silmä	   literal	Tyyntä kesti koko yön ja seuraavan päivän niin raskaana ja tukehuttavana , että jo pelkkä ajatus avata silmiänsä aiheutti päänkipua .
 3816066	avata_silmä	   literal	Ja sitten pimeyden hälvettyä minä avaan silmäni aamun koitossa ja näen japanilaisvaimon huolestuneena kumartuvan ylitseni .
 3832723	avata_silmä	   literal	Niin pian kuin avaat silmäsi , ala päivä jollakin jumalisuudenharjoituksella , esimerkiksi : a ) Kiitoksella edellisenä yönä nautitusta suojeluksesta .
 3850126	avata_silmä	   literal	Hän avasi silmänsä ja näki Ontrein , joka oli kumartunut hänen puoleensa .
 3851748	avata_silmä	   literal	Antti avasi silmänsä , katseli ympärilleen , kuin älyämättä missä oli , näki sitten Helenan ja muisti samalla kaikki .
 3858148	avata_silmä	   literal	Mutta heti kun vieraan jäätävän kylmät sormet koskettivat sitä , oli jähmetyksen vaikutus niin suuri , että de Guiche avasi silmänsä ja koetti katsettaan elvyttäen tulla tajuihinsa .
 3871147	avata_silmä	   literal	Portos kohousi ja avasi silmänsä vielä ihan pökerryksissään .
 3872309	avata_silmä	   literal	Avaten silmänsä suuriksi kuin Teofrastoksen hajamielinen , Raoul ei ollut enää vastannut ; mutta hänen surunsa oli siitä lisääntynyt parilla vivahduksella .
 3875114	avata_silmä	   literal	`` Ah , avaatpa jo silmäni '' , vastasi jättiläinen tämän muistutuksen pysähdyttämänä .
 3885103	avata_silmä	   literal	Pitou avasi silmänsä selkoselälleen .
 3886786	avata_silmä	   literal	Heidän avatessaan silmänsä ei Pariisi ollut kadottanut mitään eilisestä kuohuvasta ilmeestään ; sotilaita vain ei näkynyt missään , sen sijaan kansaa kaikkialla .
 3888881	avata_silmä	   literal	Kun hän jälleen avasi silmänsä , näki hän kolme päätä peitsien nenässä .
 3891141	avata_silmä	   literal	Mutta ikäänkuin tämä kuningattaren muisteleminen olisi häntä uhannut , ikäänkuin tämä uhkaus olisi tullut häntä noutamaan suonenvedon keskeltä , Andrée avasi silmänsä , kohotti kätensä taivasta kohden ja nousi seisaalleen .
 3897881	avata_silmä	   literal	Vaan kun avaat silmäsi , silloin hetkeks ' talttuvi kaikki mustat murheet .
 3915039	avata_silmä	   literal	Kunpa ihmisellä olisi viikinkiuhmaa -- ja -- HILDE ( tavallisella äänellään , avaten silmänsä , mutta liikahtamatta ) .
 3919325	avata_silmä	   literal	Hän ei uskaltanut awata silmiään , sillä hän pelkäsi Pentin menewän pois .
 3938688	avata_silmä	   literal	Hän avasi silmänsä nähdäkseen , riitelivätkö ehkä nuo seinälle maalatut kuviot keskenään , ja hän koetti tarkastella , vieläkö muotokuva oli paikoillaan .
 3969816	avata_silmä	   literal	Hän iski Pontan kuusi kertaa peräkkäin mattoon -- aina uudelleen , kun tämä oli kömpinyt jaloilleen , mutta antoi sitten Pontalle hyvän tilaisuuden sivaltaa häntä leukaan , ja kahden minuutin perästä Mickey avaa silmänsä ja kysyy , mitä on tapahtunut .
 3977510	avata_silmä	   literal	En huutanut ... Avasin silmäni , mutta yhä hän vaan kulkee !
 3990983	avata_silmä	   literal	Sitten hän avasi silmänsä , katsahti ylöspäin , hymyili ja sulki ne jälleen ja näytti nukkuvan .
 4012768	avata_silmä	 idiomatic	Ihmiset avasivat silmänsä : `` Sellaisiako se Matti-junkkari ? ... ''
 4015609	avata_silmä	   literal	Mutta hän ei voinut vastata mitään , ei liikuttaa jäsentään , ei avata silmäänsäkään enää .
 4016816	avata_silmä	   literal	Buck avasi silmänsä ja ne kiiluivat vihasta , joka olisi sopinut ryövätylle kuninkaalle .
 4023802	avata_silmä	   literal	Sairas avasi silmänsä ja vähän tarkasteltuaan Eeroa , kysyi : -- Kukas herra on , joka niin köyhästä huolen pitää ?
 4031662	avata_silmä	   literal	Oi , miten minua paleli , kun avasin silmäni tänä aamuna !
 4034071	avata_silmä	   literal	Jos minä silmäni ummistan , niin näen minä hänen edessäni niinkuin lämpimän halauksen , ja jos minä avaan silmäni , niin tekisi minun mieleni suudella ilmaa , ja levittää käteni syleilyyn , sillä Bathseba liihottaa minulle kaiken yllä .
 4034460	avata_silmä	   literal	Sillä kun minä yksin olen , niin minussa heruu tunto , ikäänkuin sinun rakkautesi punainen vaate minun ympärilleni kääritty olisi , ja lämpimässä näen minä sinun edessäni niinkuin sinä olet , ja sinun olosi on selvä rakkauden lekotus minun silmissäni , ja sinun huuliltasi juoksee selvä rakkauden hunaja ja minä imen sitä huulillani ja juon sitä , mutta kun minä sitte avaan silmäni , niin sinä olet poissa , ja sinun suloinen läsnäolosi on hävinnyt , ja kammottava tyhjyys tuijottaa minua vastapäätä .
 4034563	avata_silmä	   literal	Mutta kun aamu tuli , ja he avasivat silmänsä , niin oli Simson lakastunut , ja hänen rintansa vaipunut , ja hänen huulensa olivat kuivat ja laimenneet .
 4036119	avata_silmä	   literal	Hän muisti kaikki -- tuon pelottavan kuristustaudin , nuo viimeiset hetket ... Lääkäri oli luullut hänet kuolleeksi -- ja hänet oli tuotu tänne kylmään vaatekammioon ... Hän ponnisti kaikki voimansa huutaakseen , liikkuakseen , avatakseen silmänsä -- mutta hänen epätoivonsa kasvoi yhä , kun hän huomasi , ettei yksikään lihas värähtänyt .
 4036129	avata_silmä	   literal	-- huusi hän koko sielullaan , tuskan ja epätoivon vimmalla , mutta kuiskaustakaan ei kuulunut ... Kauan oli mies siinä polvillaan , pidellen hänen kättään , ja koko ajan hän ponnisteli epätoivoisesti , rukoilikin , että olisi voinut kuiskata edes yhden pienen , pienen sanan , liikauttaa hiukan sormeaan , avata silmänsä -- mutta ei !
 4047910	avata_silmä	   literal	Charlotte avasi silmänsä ja katseli miettiväisesti Jennetiä .
 4048736	avata_silmä	   literal	Avatessaan silmänsä hän näki Katherinen seisovan , vuoteensa ääressä , ojentaen hänelle kupin teetä ja viipaleen paahdettua vehnäleipää .
 4049347	avata_silmä	   literal	Ja kun he puhuivat minulle noin , keskeytyi tuo voimakas mielen harha sillä tavoin , että tahdoin sanoa : `` Oi Beatrice , siunattu ole sinä '' , ja olin jo sanonut : '' Oi Beatrice '' , kun toinnuin ja avasin silmäni , ja näin että olin ollut harhan vallassa .
 4062838	avata_silmä	   literal	Nyt yskäisi merikarhu astuen vähän lähemmäksi pormestaria , joka avasi silmänsä levälleen ikäänkuin nyt vasta huomaten hänet .
 4064146	avata_silmä	   literal	Täällä neito tointui hetken kuluttua ; hän avasi silmänsä , mutta katse oli arka ja hämärä , kun hän ensimmäiseksi huomasi Eerikin .
 4067894	avata_silmä	   literal	Hän avasi silmänsä ja kohottausi ylöspäin , mutta tuvassa ei näkynyt ainoatakaan elävää olentoa .
 4087272	avata_silmä	 idiomatic	Mutta tämä ei tapahdu muulla tavoin kuin siten , että Jumalan henki saa avata silmämme ja vakuuttaa meille , ettemme itsestämme ole muuta kuin syntisiä sekä ettemme pyrkimisillämme ja ponnistuksillamme , teimme mitä tahansa , tule muuksi kuin syntisiksi , velallisiksi , tuomituiksi ja kadotetuiksi , kaikkeen hyvään kykenemättömiksi syntisiksi .
 4097237	avata_silmä	   literal	Annette avasi silmänsä , hän heräsi levottomasta kuume-unestansa .
 4130622	avata_silmä	   literal	Kumarruksissa ylitseni , oli Agneta hieromassa aiweniani etikalla , jota hän myös piti nenäni alla , silloin kun ensikerran awasin silmäni pyörtymiseni jälkeen .
 4138185	avata_silmä	 idiomatic	-- Kauan tuota kaikkea saimme kestää , ennenkuin vihdoin aika avasi silmämme näkemään , että `` Lait pettää , hallitukset sortuu , verot köyhälistön verta juo , ja köyhän ihmisoikeuskin ompi tyhjä lause tuo , Pois jo kansat holhouksen alta !
 4144539	avata_silmä	   literal	Isäni avasi silmänsä ja alkoi kuunnella .
 4144794	avata_silmä	   literal	Siitä , mitä yöllä tapahtui , en muista muuta kuin että minulla oli hyvin kuuma ja että joka kerta kun avasin silmäni , istui tohtorin rouva kumartuneena ylitseni ja puheli minulle lempeällä äänellä .
 4145600	avata_silmä	   literal	Äitini pitkät silmäripset liikahtivat ja hän avasi silmänsä katsoen minuun sekava ilme silmissään , ikäänkuin vielä uneksien .
 4152438	avata_silmä	   literal	Äkkiä lapsi , joka myös oli nukkunut , heräsi ja alkoi itkeä , ja silloin nainen avasi silmänsä ja katseli lasta minun tuudittaessani häntä uudelleen uneen .
 4152548	avata_silmä	   literal	Avatessani silmäni näin ajavamme pitkin jonkinlaista lehtokujaa , toisella puolella rivi pieniä , kehnoja kaksikerroksisia taloja ja toisella viljelemätöntä , särkyneitten pullojen , särkyneitten rautapannujen , särkyneitten saviastiain ja muun töryn peittämää maata , josta siellä täällä pisti esiin pitkiä , takkuisia ruohotupsuja .
 4153765	avata_silmä	   literal	Avatessani silmäni näin olevani aivan vieraassa huoneessa .
 4153826	avata_silmä	   literal	Tuokio kesti vaitioloa , kuolon hiljaisuutta ja sitten -- sitten avasin silmäni ja näin hänen seisovan ovella .
 4153985	avata_silmä	   literal	Aamulla , ennenkuin avasin silmäni , sanelin itselleni : `` Nyt he ovat matkalla Eustoniin '' , ja aina , kun kuulin kellon lyövän , ajattelin : '' Nyt he ovat junassa , '' tai `` Nyt he ovat Liverpoolissa , '' tai `` Nyt he ovat laivalla '' ; mutta kaiken aikaa lauloin `` Sallya '' ja muuta pötyä ja olin olevinani yhtä onnellinen kuin päivä oli pitkä .
 4155838	avata_silmä	   literal	Tämän kuultuaan majurikin avasi silmänsä ja käski viittaamalla lääkärit menemään toisiin huoneisiin .
 4158134	avata_silmä	   literal	Kun eversti avasi silmänsä , lepäsivät ne hetken Hammarin kasvoilla , ja raukea hymy levisi voimakkaille , mutta kalpeille ja kuoleman kaunistamille kasvoille .
 4171974	avata_silmä	   literal	Rouka , joka on ollut hänen istuimensa ääressä , palaa paikalleen._ _Urmas avaa silmänsä ja katselee ympärilleen , tuntee Rouan .
 4181275	avata_silmä	   literal	Kun herra inspehtori jälleen avasi silmänsä , loisti aurinko täydeltä terältä pilvettömällä taivaalla .
 4181851	avata_silmä	   literal	Hän havahtui , kun tunsi voimakkaan lyönnin olallaan , ja kun hän avasi silmänsä , näki hän edessään Brovallin punakat , humalaiset kasvot .
 4207379	avata_silmä	   literal	( Niin ehdittyään teaterin keskelle seisahtaa hän äkisti , avaa silmänsä ja vaipuu alas kovin kiljahtaen .
 4228749	avata_silmä	   literal	Ruth avasi silmänsä ja koetti ankarasti ponnistaen näyttää iloiselta ja paremmalta .
 4270171	avata_silmä	   literal	Hän hiipi varpaisillaan miehensä huoneeseen , mutta tämä kuuli kuitenkin hänen tulonsa , avasi silmänsä ja -- sulki ne taas kiireesti .
 4270339	avata_silmä	   literal	Useinhan terveetkin ... Ivan Iljitsh avasi silmänsä suuriksi : -- Mitä ?
 4279348	avata_silmä	   literal	Vielä kerran hän avasi silmänsä ja puristi puolisonsa kättä , ja luoden katseensa korkeutta kohden hän sanoi profeetallisesti tyttärelleen : '' Vaikkapa tuhannet kaatuisivat sinun rinnallasi , ei sinulle ole tapahtuva mitään pahaa , sillä hän on antanut käskyn enkeleilleen , että heidän on autettava sinua täyttämään elämäsi tehtävää . ''
 4294432	avata_silmä	   literal	Kun vanha Trésor avasi silmänsä , hän näki Ilonkan edessänsä , vaivoin nosti hän kätensä ja syleili häntä .
 4301578	avata_silmä	   literal	Kuoleva avasi silmänsä ja virkkoi tuskin kuuluvalla äänellä : -- Ormuzd on antanut minulle anteeksi .
 4308195	avata_silmä	   literal	Hän avasi silmänsä ja katsahti setä Fransiin .
 4334061	avata_silmä	   literal	Hän avaa silmänsä , näkee Tristanin , ei usko silmiään : '' Sinäkö , Tristan , siinä !
 4344249	avata_silmä	   literal	Sitten se kuninkaan ja kaikkien suureksi kummastukseksi avasi silmänsä ja sanoi : -- Suvaitseeko majesteetti avata kirjan ?
 4347186	avata_silmä	   literal	Unijauheen lakatessa vaikuttamasta hän heräsi , avasi silmänsä ja kummastui suuresti nähdessään itsensä entisessä kodissaan .
 4347273	avata_silmä	   literal	Abu Hassan ihmetteli kovin kuullessaan ihanaa musiikkia , ja kun hän avasi silmänsä ja näki edessään naiset ja hoviherrat jotka luuli tuntevansa , hänen kummastuksensa lisääntyi .
 4379853	avata_silmä	   literal	Kohta sen jälkeen poika avasi silmänsä , katseli hämmästyneenä , vaan selvänä isäänsä ja vanhaa Steiniä .
 4380984	avata_silmä	   literal	Hän laskeusi polvilleen Ivanin viereen , hieroi hänen otsakulmiansa viinalla , jota hänellä oli mukanansa putelissa , kaatoi muutaman pisaran siitä hänen suuhunsa ja tuli iloiseksi , kun Ivan muutaman minuutin perästä avasi silmänsä ja näytti vähän tointumisen merkkiä .
 4393516	avata_silmä	   literal	Mr Direck hapuili vanhaa tuttavaansa , hätäjarrua , mutta ehti tuskin koskea siihen , kun hänen päänsä iski lasisuojustimeen ja kaikki pimeni ... Avatessaan silmänsä hän näki vioittuneen muurin , kasaantuneen moottoripyörän , ilmailijanlakkiin ja kaikkien moottoripyöräilijäin ihailemiin hienoihin nahkavaatteihin puetun moottoripyöräilijän .
 4396089	avata_silmä	   literal	Toiset täydentävät kuvauksen Kalevan kansasta niin tärkeään suhteesen kuin perhe-elämähän nähden ; toiset taas , enemmän kuin mikään muu runoelman osa , avaavat silmiemme eteen Suomalaisten muinaisen ylimaailman .
 4406142	avata_silmä	 idiomatic	He suorittavat meidän tehtävämme melkein puoliksi ja avaavat silmämme silloin kun satumme ne sulkemaan .
 4409107	avata_silmä	   literal	Kun tämä viimeinkin avasi silmänsä ja näki äitinsä matkapuvussa , kysyi hän häntä vakavasti katsellen : '' Minne menet , äiti ? ''
 4409893	avata_silmä	   literal	S : t Claire avasi silmänsä ja katsahti orjaraukkoja , joita nyt väkisin koetettiin saada väistymään .
 4411904	avata_silmä	   literal	Hän avasi silmänsä ja hymyili minulle mitään sanomatta .
 4418541	avata_silmä	   literal	Hän avasi silmänsä ja niistä loisti syvä kiitollisuuden tunne .
 4421678	avata_silmä	 idiomatic	Sinä avasit silmäni näkemään naidun naisen uhraukset koko laajuudessaan .
 4427001	avata_silmä	   literal	Johtajatar aikoi jättää hänet ja antaa hänen vielä maata , kun Margery avasi silmänsä ja himmeä katseensa kirkastui .
 4429129	avata_silmä	   literal	Riikinkukot ruohikkonurmella ... ja sitten avaan silmäni ... kuumuus keittiönhellasta kietoutui ympärilleni ja kuulin Jaken sanovan Jake , hän oli mieheni -- niin , kuulin Jaken sanovan : mikset nosta papuja padasta !
 4432369	avata_silmä	   literal	Kun avasin silmäni , oli huoneeni pimeä , taloni äänetön , palvelijattareni nukkui nojatuolilla vuoteeni jalkopäässä .
 4447337	avata_silmä	   literal	Kun hän avasi silmänsä , näki hän kolme etelänpuolen miestä pitävän Iikkaa ahtaalla .
 4484820	avata_silmä	   literal	Vaikkei Kinturi enää jaksanutkaan herätä ja avata silmiänsä , jaksoi hän kuitenkin -- Marin lämmityksistä elähtyneenä -- vielä nähdä unia .
 4484839	avata_silmä	   literal	Kinturi lakkasi hengittämästä , avasi silmänsä , katseli tajuttomana ympärilleen ja hieno vapistus kävi yli koko hänen ruumiinsa .
 4506544	avata_silmä	   literal	-- Näin me kerjäämme , jotka sen taidon osaamme , sanoi hän ylpeästi laamalle , joka avasi silmänsä suuriksi nähdessään maljan sisällyksen .
 4510407	avata_silmä	   literal	Kim avasi silmänsä selko selälleen .
 4513741	avata_silmä	   literal	Niinpä siis Kimiä , kun hän kaikki jäsenet kipeinä avasi silmänsä ja aikoi mennä keittiöön hankkimaan opettajalleen ruokaa , kohtasikin ankara vastustus , ja hän huomasi ovellansa huntuun puetun naisen ja harmaapäisen miespalvelijan , joka selitti hänelle , mitä hän ei missään tapauksessa saisi tehdä .
 4518828	avata_silmä	   literal	Nykäisi nukkuvinaan olevaa isäntää parrasta ja huusi : `` Hei '' , jolloin isäntä säikähtyneenä avasi silmänsä ja sai Sannilta helisevän naurun .
 4521816	avata_silmä	   literal	Sannakin vavahti , avasi silmänsä ja näytti hämmästyvän , kun näki tädin .
 4530077	avata_silmä	   literal	Kun Jurgis joskus kysyi heiltä , mitä he sillä tarkottivat , alkoivat he katsella häntä jonkunmoisella epäluulolla ja vastasivat : `` Kun kerran seisot siinä , niin avaa silmäsi ja näe itse ! ''
 4531005	avata_silmä	   literal	Pikku Antanas alkoi jo huomata asioita ja esineitä , ja kun se avasi silmänsä ja sai nähdä Jurgiksen , niin hymyili se -- oi taivas , kuinka se hymyili !
 4531402	avata_silmä	   literal	Kun hän jälleen avasi silmänsä , oli hän painajaisen kynsissä ja näki Elzbietan puristelevan häntä kaikin voimin ja huutaen kovaa .
 4533562	avata_silmä	   literal	Kun hän jälleen avasi silmänsä , huomasi hän olevansa sairasvaunuissa matkalla piirisairaalaan .
 4535292	avata_silmä	 idiomatic	Avatkaa silmänne ja katsokaa ympärillenne !
 4542194	avata_silmä	   literal	ajatteli vanha ministeri ja avasi silmänsä selkosen selälleen , `` minähän en näe mitään ! ''
 4542197	avata_silmä	   literal	Sitten he osoittelivat tyhjiä kangaspuita , ja vanha ministeri raukka avasi silmiään entistä suuremmiksi , mutta ei saattanut nähdä mitään , sillä kangaspuut olivat kun olivatkin tyhjät .
 4553330	avata_silmä	   literal	-- Franskalaiset , nähtyään ensi kertaa ilmapalloja , alkoivat ampua niitä , pitäen niitä kummituksina ; sallittakoon siis Sudanin neekerien avata silmänsä selkoseljälleen .
 4555574	avata_silmä	   literal	Tuskin hän oli ennättänyt vetää henkeänsä ja avata silmänsä , niin jo näki edessään kaksi pikimustaa neekeriä .
 4556602	avata_silmä	   literal	Hän koetti vastustaa , avasi silmänsä monta kertaa , tähysteli synkkään yöhön , mitään näkemättä .
 4578226	avata_silmä	   literal	Lienen kuitenkin jälleen torkahtanut , koskapa avatessani silmäni auringon punaiset säteet valaisivat isän vanhaa kotitakkia , joka hänen poissa ollessaan ( ja hän oli melkein aina poissa ) riippui seinäkaapin nurkkauksessa .
 4579191	avata_silmä	 idiomatic	Nyt kuljin unissani Johanssonien huoneissa ja keittiössä vielä kaksi viikkoa , voimatta avata silmiäni millekään todelliselle .
 4587589	avata_silmä	   literal	Kauan ei pastorin ja Kolkin tarvinnutkaan tehdä virvoitus-kokeitaan , ennenkuin Aina avasi silmänsä ja tuli tunnoilleen .
 4596220	avata_silmä	   literal	Palvelija kosketti häntä kahdesti olkapäähän ennenkuin hän heräsi , ja kun hän avasi silmänsä , niin hieno hymy karehti hänen huulillaan , ikäänkuin hän olisi nähnyt jotain suloista unta .
 4625941	avata_silmä	 idiomatic	Se on se suuri Timantti , joka avaa silmät ... TILTIL .
 4625944	avata_silmä	   literal	Se painaa silloin erästä nystyrää päässä , jota kukaan ei tunne ja joka avaa silmät ... TILTIL .
 4626282	avata_silmä	   literal	Varrohan vielä ... En tiedä vielä , nukkuvatko ne ... Jäädään tähän puun taa ... Iso-äiti Til avaa silmänsä , kohottaa päätään , venytteleikse , huokaa ja katselee Iso-isä Tiliä , joka hänkin vähitellen herää .
 4629213	avata_silmä	   literal	Pouta pakotti katseellaan Virvan avaamaan silmänsä , mutta nyt hänessä oli nainen varuillaan , ja miehen tähtäämä katse kilpistyi älykkäästä hymystä .
 4633713	avata_silmä	   literal	Äiti oli tajutonna , mutta lapsi avasi silmänsä ja itki . ''
 4661756	avata_silmä	 idiomatic	Avaa silmäsi valkeudelle , ja suuri sulttani , jonka anteliaisuus on yhtä määrätön kuin hänen valtansa , lahjottaa sinulle ehkä kuningaskunnan ; pysy sokaistuna , jos tahdot , ja vaikka olet olento , jonka elämä tästä lähin on ikuiseen kurjuuteen tuomittu , tekee Saladin sentään sinun rikkaaksi ja onnelliseksi sinä elinaikana , joka sinulle on tässä mailmassa suotu .
 4679304	avata_silmä	   literal	Hän avasi silmänsä , kääntyi selälleen ja kesäöisen hämyn lävitse tuijotti kattoon .
 4687312	avata_silmä	   literal	( Konrad avaa silmänsä ja pöllistelee kovin ) Mitä kuuluu ?
 4707409	avata_silmä	   literal	Hän kutoi yhä sukkaa ja veisatessaan pisteli aina puikkoa sävelen mukaan , avaten silmänsä auki ja hartaasti kääntäen ne ylöspäin kattoa kohti puikkoa pistäessään ja sulkien ne taas silmua vetäessään .
 4723391	avata_silmä	   literal	Avaa silmäsi ja vastaa minulle !
